wine_id,wine_name,wine_year,wine_type,wine_price,Beschreibung,wine_alcohol,wine_tastes,wine_country
1,LE TAPIE Rouge,2003,red,4.7,"Tannat trifft Merlot... Kraft trifft Eleganz... Würzige Aromen treffen reiche Frucht. Beim Le Tapie, mit seiner dunkelroten Farbe, dem verführerischen Bouquet nach Kirschen, Heidelbeeren und Kräutern und dem köstlich-fruchtigen Geschmack am Gaumen geben beide Rebsorten ihr Bestes. Viel Wein fürs Geld!",13.52%,jung&fruchtig,Frankreich
2,GUY BOYER,2014,red,4.7,"Die Ardèche – zwischen Lyon und Montpellier gelegen – gehört zu den Geheimtipp-Regionen Frankreichs. Weniger geheimnisvoll sind die Rebsorten, die hier gedeihen: Cabernet Sauvignon und Merlot, wohl bekannt aus dem Bordeaux. Hier bringen sie einen ebenso jungen, wie fruchtig-frischen Wein im modernen Stil hervor, der mit seinem hellen Purpurrot, den einladenden Bouquet nach reifen Kirschen, Brombeeren und Himbeeren und seinem beerig-saftigen Geschmack jede Menge Wein zum kleinen Preis bietet. Perfekt zur einfachen Landküche.   ",14.35%,jung&fruchtig,Frankreich
3,LA CLOUTADE D'AMBRE,2011,red,5.5,"Die Appellation Corbières ist geradezu ein Synonym für bestes Preis-Qualitäts-NIveau. Der La Cloutade d'Ambre macht da keine Ausnahme. Sehr eleganter Wein mit Noten von Schwarzkirschen, Brombeeren und Haselnüssen. Am Gaumen saftig, fruchtig, frisch. Kann auch gut leicht gekühlt serviert werden",14.11%,jung&fruchtig,Frankreich
4,CHÂTEAU PECH-CÉLEYRAN,2017,red,5.85,"Fällt der Name La Clape, geht Languedoc-Fans das Herz auf, ist es doch eine Super-Lage. Und das merkt man dem Wein an. Der Duft verführt mit reifen Waldbeeren, Süßkirschen und einem Strauß mediterraner Kräuter. Am Gaumen mit geschmeidiger Textur und reifen Tanninen, der Nachhall mit einem würzigen Touch Süßholz. Sehr gelungener Wein.",14.59%,mittelkräftig&ausgewogen,Frankreich
5,PAUL MAS Cabernet de Cabernet,2019,red,5.95,"Bei einer Cuvée aus Cabernet Sauvignon und Cabernet Franc wähnt man sich eigentlich im Bordeaux. Jean-Claude Mas ließ sich davon inspirieren und schuf mit dem Cabernet de Cabernet eine südfranzösische Version des Rebsorten-Duetts: Languedoc goes Bordeaux! Und die ist wunderbar gelungen. Der Auftakt bietet ein sattes Rubinrot und ein intensives Bouquet nach Früchten (Himbeeren, Schwarze Johannisbeeren) Gewürzen (rote Paprika, Lorbeer) und Kernobst (rote Kirschen). Am Gaumen ausgewogen, mit reichlich Struktur und reifen Tanninen, der Nachklang bietet einen Hauch Kräuterwürzigkeit. Ein Vin Rouge mit Charakter und ganz viel Wein fürs Geld!",13.56%,mittelkräftig&ausgewogen,Frankreich
6,CANTE CIGALE Rouge,2001,red,6.4,"Ungewöhnliche Cuvée aus den vier Bordelaiser Rebsorten Merlot, Cabernet Franc, Cabernet Sauvignon und Petit Verdot, die gleichwohl ihre südfranzösische Herkunft auf der Visitenkarte trägt. Dunkles tiefes Purpurrot in der Farbe. Das einladende Bouquet offeriert Blaubeeren, Brombeeren und Kirschen auf der Fruchtseite, komplettiert mit frischen Kräutern und exotischen Gewürzen. Erstaunlich dicht und kompakt am Gaumen, dabei mit viel Merlot-Schmelz und saftigem Tannin. Da ist jede Menge Qualität im Glas!",13.03%,mittelkräftig&ausgewogen,Frankreich
7,CHÂTEAU DE JAU Rouge,2017,red,6.7,"Ein Dandy vereint einen extravaganten Auftritt mit tadellosen Manieren. Ein Panda-Dandy bringt noch eine Portion Gelassenheit dazu. Da passt: Extravagante Aromen nach Schwarzkirsche und Schoko-Tarte geben diesem gelungenen Roten eine individuelle Note. Am Gaumen mit einer tadellosen Melange aus beeriger Frucht und schmelzigen Tanninen, der Nachhall rund und harmonisch. Für den gelassenen Genuss.",14.61%,mittelkräftig&ausgewogen,Frankreich
8,DOMAINE DE GRANGENEUVE L'Initiale H,2018,red,6.95,"Die Appellation Grignan-les-Adhémar ist das nördlichste Anbaugebiet der südlichen Rhône, also für Grenache und Syrah gleichermaßen ein gutes Terrain. Die Domaine de Grangeneuve macht sich diese einmalige geografische Lage zu nutzen und vinifiziert eine Cuvée aus ebendiesen Rebsorten, wobei Grenache mit 65 % die Nase vorn hat. Der Wein weist ein schönes brillantes Rubinrot auf, das kräftige Bouquet zeigt rote Früchte, Gar­rigue und Gewürze. Am Gaumen ausgewogen, mit einer mittelschweren Struktur und sehr reicher und zufriedenstellender Präsenz, der Nachhall mit reifen Tanninen und erstaunlicher Frische. Ein Rhône-Roter der nicht die Schwere seiner südlichen Brüder hat, was ihn zum vielseitigen Speisebegleiter macht. ",13.95%,jung&fruchtig,Frankreich
9,DOMAINE SAINTE SOPHIE,2005,red,6.95,"Ein wahrer Languedoc-Veteran im Sortiment von Jacques’ und seit Jahr und Tag mit einem schier unglaublich guten Preis-Qualitäts-Niveau unterwegs. Die aktuelle Edition macht da keine Ausnahme. Der dichten rubinroten Farbe folgt ein reicher Duftstrauß mit roten und schwarzen Beeren, Heidekräutern und reifer Kirsche, unterlegt mit einem deutlichen Süßholz-Ton, der dem Wein eine unverwechselbare Note verleiht. Der Geschmack ist kraftvoll, würzig und von reifen Tanninen geprägt, genial gestützt von satter Frucht und mediterraner Kräuterwürzigkeit. Diese Cuvée befindet sich in einer hervorragenden Form.",14.44%,körperreich&vollmundig,Frankreich
10,LES ORMIÈRES,2010,red,6.95,"Eine so ungewöhnliche wie spannende Cuvée aus Marselan und Alicante Bouschet, die schon mit ihrer tiefroten Farbe zu beeindrucken weiß. Das Bouquet mit reifen roten Beeren und würzigen Kräutern ist ebenso animierend wie der herrlich kräftig-fruchtige Geschmack und der saftige Nachhall. Das ist eine unbekannte Seite des Languedoc, die es lohnt zu entdecken. Passt sehr gut zu geschmortem Fleisch und würzigen Pasta-Rezepten. ",13.31%,mittelkräftig&ausgewogen,Frankreich
