Name,Typ,Preis in euro,Region,Beschreibung,Alkoholgehalt,Weinstil,Herkunft,URL,Thumb
LE TAPIE Rouge 2020,Rotwein,"
4,70€*
","Côtes de Gascogne, Südwesten","

Notiz:
Tannat trifft Merlot... Kraft trifft Eleganz... Würzige Aromen treffen reiche Frucht. Beim Le Tapie, mit seiner dunkelroten Farbe, dem verführerischen Bouquet nach Kirschen, Heidelbeeren und Kräutern und dem köstlich-fruchtigen Geschmack am Gaumen geben beide Rebsorten ihr Bestes. Viel Wein fürs Geld!
","<div class=""colC"">13,52% Vol.</div>","<div class=""colC"" itemprop=""color"">jung &amp; fruchtig</div>",Frankreich,https://www.jacques.de/weine/1442/2020-le-tapie-rouge/?cPath=6_23,https://d3r736iq305k8w.cloudfront.net/product_images/popup_images/1442_0.jpg
GUY BOYER 2020,Rotwein,"
4,70€*
","Ardèche, Rhônetal","

Notiz:
Die Ardèche – zwischen Lyon und Montpellier gelegen – gehört zu den Geheimtipp-Regionen Frankreichs. Weniger geheimnisvoll sind die Rebsorten, die hier gedeihen: Cabernet Sauvignon und Merlot, wohl bekannt aus dem Bordeaux. Hier bringen sie einen ebenso jungen, wie fruchtig-frischen Wein im modernen Stil hervor, der mit seinem hellen Purpurrot, den einladenden Bouquet nach reifen Kirschen, Brombeeren und Himbeeren und seinem beerig-saftigen Geschmack jede Menge Wein zum kleinen Preis bietet. Perfekt zur einfachen Landküche.   
","<div class=""colC"">14,35% Vol.</div>","<div class=""colC"" itemprop=""color"">jung &amp; fruchtig</div>",Frankreich,https://www.jacques.de/weine/1492/2020-guy-boyer/?cPath=6_23,https://d3r736iq305k8w.cloudfront.net/product_images/popup_images/1492_0.jpg
LA CLOUTADE D'AMBRE 2020,Rotwein,"
5,50€*
","Corbières, Languedoc","

Notiz:
Die Appellation Corbières ist geradezu ein Synonym für bestes Preis-Qualitäts-NIveau. Der La Cloutade d'Ambre macht da keine Ausnahme. Sehr eleganter Wein mit Noten von Schwarzkirschen, Brombeeren und Haselnüssen. Am Gaumen saftig, fruchtig, frisch. Kann auch gut leicht gekühlt serviert werden
","<div class=""colC"">14,11% Vol.</div>","<div class=""colC"" itemprop=""color"">jung &amp; fruchtig</div>",Frankreich,https://www.jacques.de/weine/1169/2020-la-cloutade-d-ambre/?cPath=6_23,https://d3r736iq305k8w.cloudfront.net/product_images/popup_images/1169_0.jpg
CHÂTEAU PECH-CÉLEYRAN 2019,Rotwein,"
5,85€*
","La Clape, Languedoc","

Notiz:
Den Wein des Château Pech-Céleyran kann man mit Fug und Recht als „Hidden Champion“ titulieren, gehört er doch nicht nur zu den beliebtesten Weinen in seiner Preisliga, sondern ist auch einer der ältesten Namen im Sortiment von Jacques’. Liegt das vielleicht an seiner Herkunft La Clape, die wie automatisch das Herz aller Languedoc-Fans ein wenig schneller schlagen lässt? Auf jeden Fall bringt diese Super-Lage einen purpurrot-glänzenden Vin Rouge mit dichter Robe ins Glas. Der Duft verführt mit reifen Waldbeeren, Süßkirschen und einem Strauß mediterraner Kräuter. Am Gaumen mit geschmeidiger Textur und reifen Tanninen, der Nachhall mit einem würzigen Touch Süßholz. Sehr gelungene Cuvée, die perfekt zur rustikalen Küche passt. 
","<div class=""colC"">14,59% Vol.</div>","<div class=""colC"" itemprop=""color"">mittelkräftig &amp; ausgewogen</div>",Frankreich,https://www.jacques.de/weine/1151/2019-chateau-pech-celeyran/?cPath=6_23,https://d3r736iq305k8w.cloudfront.net/product_images/popup_images/1151_0.jpg
PAUL MAS Cabernet de Cabernet 2020,Rotwein,"
5,95€*
","Pays d'Oc, Languedoc","

Notiz:
Bei einer Cuvée aus Cabernet Sauvignon und Cabernet Franc wähnt man sich eigentlich im Bordeaux. Jean-Claude Mas ließ sich davon inspirieren und schuf mit dem Cabernet de Cabernet eine südfranzösische Version des Rebsorten-Duetts: Languedoc goes Bordeaux! Und die ist wunderbar gelungen. Der Auftakt bietet ein sattes Rubinrot und ein intensives Bouquet nach Früchten (Himbeeren, Schwarze Johannisbeeren) Gewürzen (rote Paprika, Lorbeer) und Kernobst (rote Kirschen). Am Gaumen ausgewogen, mit reichlich Struktur und reifen Tanninen, der Nachklang bietet einen Hauch Kräuterwürzigkeit. Ein Vin Rouge mit Charakter und ganz viel Wein fürs Geld!
","<div class=""colC"">13,56% Vol.</div>","<div class=""colC"" itemprop=""color"">mittelkräftig &amp; ausgewogen</div>",Frankreich,https://www.jacques.de/weine/2098/2020-paul-mas-cabernet-de-cabernet/?cPath=6_23,https://d3r736iq305k8w.cloudfront.net/product_images/popup_images/2098_0.jpg
CANTE CIGALE Rouge 2020,Rotwein,"
6,40€*
","Pays d'Oc, Languedoc","

Notiz:
Ungewöhnliche Cuvée aus den vier Bordelaiser Rebsorten Merlot, Cabernet Franc, Cabernet Sauvignon und Petit Verdot, die gleichwohl ihre südfranzösische Herkunft auf der Visitenkarte trägt. Dunkles tiefes Purpurrot in der Farbe. Das einladende Bouquet offeriert Blaubeeren, Brombeeren und Kirschen auf der Fruchtseite, komplettiert mit frischen Kräutern und exotischen Gewürzen. Erstaunlich dicht und kompakt am Gaumen, dabei mit viel Merlot-Schmelz und saftigem Tannin. Da ist jede Menge Qualität im Glas!
","<div class=""colC"">13,03% Vol.</div>","<div class=""colC"" itemprop=""color"">mittelkräftig &amp; ausgewogen</div>",Frankreich,https://www.jacques.de/weine/17519/2020-cante-cigale-rouge/?cPath=6_23,https://d3r736iq305k8w.cloudfront.net/product_images/popup_images/17519_0.jpg
CHÂTEAU DE JAU Rouge 2019,Rotwein,"
6,70€*
","Côtes du Roussillon-Villages, Roussillon","

Notiz:
Ein Dandy vereint einen extravaganten Auftritt mit tadellosen Manieren. Ein Panda-Dandy bringt noch eine Portion Gelassenheit dazu. Da passt: Extravagante Aromen nach Schwarzkirsche und Schoko-Tarte geben diesem gelungenen Roten eine individuelle Note. Am Gaumen mit einer tadellosen Melange aus beeriger Frucht und schmelzigen Tanninen, der Nachhall rund und harmonisch. Für den gelassenen Genuss.
","<div class=""colC"">14,61% Vol.</div>","<div class=""colC"" itemprop=""color"">mittelkräftig &amp; ausgewogen</div>",Frankreich,https://www.jacques.de/weine/1261/2019-chateau-de-jau-rouge/?cPath=6_23,https://d3r736iq305k8w.cloudfront.net/product_images/popup_images/1261_0.jpg
DOMAINE DE GRANGENEUVE L'Initiale H 2019,Rotwein,"
6,95€*
","Grignan-les-Adhémar, Rhônetal","

Notiz:
Die Appellation Grignan-les-Adhémar ist das nördlichste Anbaugebiet der südlichen Rhône, also für Grenache und Syrah gleichermaßen ein gutes Terrain. Die Domaine de Grangeneuve macht sich diese einmalige geografische Lage zu nutzen und vinifiziert eine Cuvée aus ebendiesen Rebsorten, wobei Grenache mit 65 % die Nase vorn hat. Der Wein weist ein schönes brillantes Rubinrot auf, das kräftige Bouquet zeigt rote Früchte, Gar­rigue und Gewürze. Am Gaumen ausgewogen, mit einer mittelschweren Struktur und sehr reicher und zufriedenstellender Präsenz, der Nachhall mit reifen Tanninen und erstaunlicher Frische. Ein Rhône-Roter der nicht die Schwere seiner südlichen Brüder hat, was ihn zum vielseitigen Speisebegleiter macht. 
","<div class=""colC"">13,95% Vol.</div>","<div class=""colC"" itemprop=""color"">jung &amp; fruchtig</div>",Frankreich,https://www.jacques.de/weine/1180/2019-domaine-de-grangeneuve-l-initiale-h/?cPath=6_23,https://d3r736iq305k8w.cloudfront.net/product_images/popup_images/1180_0.jpg
PAUL MAS Syrah 2020,Rotwein,"
5,60€statt6,95€*
","Pays d'Oc, Languedoc","

Notiz:
Syrah – eine der bedeutendsten Rebsorten der Welt – besitzt das Talent Weine hervorzubringen, die Jahre reifen, aber auch Weine, die jung einen Riesenspaß machen. Jean-Claude Mas zeigt uns hier ein Musterexemplar der jungen Version. Schon das glänzende Kirschrot macht Vorfreude auf den ersten Schluck. Dem Glas entsteigen saftig-fruchtige Beerennoten, gewürzt mit Kräutern und einladenden floralen Aspekten. Am Gaumen ist er süffig, saftig, fruchtig, frisch, ein Syrah der ein bisschen von der Wildheit dieser Rebsorte zeigt. Im Finale kommt noch einmal die typische Balance aus Frucht und Würze zum Tragen. Viel Wein fürs Geld und ein exzellenter Begleiter zu Pizza, Pasta oder einer Brotzeit.
","<div class=""colC"">13,55% Vol.</div>","<div class=""colC"" itemprop=""color"">mittelkräftig &amp; ausgewogen</div>",Frankreich,https://www.jacques.de/weine/1357/2020-paul-mas-syrah/?cPath=6_23,https://d3r736iq305k8w.cloudfront.net/product_images/popup_images/1357_0.jpg
CHÂTEAU DE RUTH Côtes du Rhône 2020,Rotwein,"
7,80€*
","Côtes du Rhône, Rhônetal","

Notiz:
Klassische Cuvée aus Grenache und Syrah, die geradezu einen Archetyp eines Côtes du Rhône darstellt. Das startet mit der einnehmenden rubinroten Farbe, setzt sich mit dem ausdrucksstarken Duft nach Kirschen, Waldhimbeeren und leichten Kräuteraromen fort, und findet am Gaumen mit einer harmonischen Komposition aus schwarzen Früchten, schmelzigen Tanninen und saftigem Trinkfluss ein würdiges Finale. Sehr überzeugend!
","<div class=""colC"">14,77% Vol.</div>","<div class=""colC"" itemprop=""color"">mittelkräftig &amp; ausgewogen</div>",Frankreich,https://www.jacques.de/weine/17902/2020-chateau-de-ruth-cotes-du-rhone/?cPath=6_23,https://d3r736iq305k8w.cloudfront.net/product_images/popup_images/17902_0.jpg
CHÂTEAU BONNET Classique 2019,Rotwein,"
7,95€*
",Bordeaux,"

Notiz:
Wenn ein Wein bei Jacques’ den Namen Klassiker verdient, dann der Château Bonnet aus der Appellation Bordeaux. Seit 1976 begeistert die Cuvée aus Merlot und Cabernet Sauvignon mit purer Stilistik zum fairen Etat. Die aktuelle Edition macht da keine Ausnahme. Funkelndes, tiefes Bordeauxrot in der Farbe. Das feinziselierte Bouquet duftet nach Schwarzen Johannisbeeren, Brombeeren und feinen Kräutern. Am Gaumen einerseits schon harmonisch und zugänglich, andererseits aber genügend Struktur zeigend, um einige Jahre zu reifen. Classique à la française.
","<div class=""colC"">13,18% Vol.</div>","<div class=""colC"" itemprop=""color"">mittelkräftig &amp; ausgewogen</div>",Frankreich,https://www.jacques.de/weine/1214/2019-chateau-bonnet-classique/?cPath=6_23,https://d3r736iq305k8w.cloudfront.net/product_images/popup_images/1214_0.jpg
